url|file_name|target
https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/729/LS460_RH.pdf|others_0.pdf|others
https://catalog.belden.com/techdata/EN/1694A_techdata.pdf|cable_2.pdf|cable
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/1014-MO_SPSHT.pdf|lighting_6.pdf|lighting
https://www.mcgillmicrowave.com/product/rg402-hand-formable-coaxial-cable/?attachment_id=21561&download_file=k4snw5i77n763|cable_8.pdf|cable
https://www.mcgillmicrowave.com/product/lmr-400-coaxial-cable/?attachment_id=1393&download_file=7ikekx37reof11|cable_9.pdf|cable
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/2042-MO_SPSHT.pdf|lighting_13.pdf|lighting
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/R3ARDL_SPSHT.pdf|lighting_14.pdf|lighting
https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1109/CXA-P1612-VJL.pdf|others_15.pdf|others
https://sensorswitch.acuitybrands.com/api/products/getasset/holophane/1313253/4f8d7bde-92dc-44c4-b942-4d9a4f500555/pxhh_.pdf?abl_version=01%2f10%2f2023+19%3a40%3a24&DOC_Type=SPEC_SHEET|lighting_16.pdf|lighting
https://source.z2data.com/2023/10/23/0/43/44/91938/4426018/PdfFile_861570.pdf|cable_17.pdf|cable
https://www.pinnacle-ltg.com/sites/default/files/2023-02/EV2D_LED_SPEC.pdf|lighting_18.pdf|lighting
https://www.pinnacle-ltg.com/sites/default/files/2023-02/EV6_LED_SPEC.pdf|lighting_19.pdf|lighting
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2524B0524&DocType=Customer+Drawing&DocLang=English|cable_21.pdf|cable
https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1091/CXA-K0612-VSL.pdf|others_23.pdf|others
https://www.te.com/usa-en/product-8-2834006-2.datasheet.pdf|others_25.pdf|others
https://www.waclighting.com/product/ocularc-2-0-4/?download=specs2&1676593550|lighting_26.pdf|lighting
https://www.te.com/usa-en/product-2271203-1.datasheet.pdf|others_27.pdf|others
https://www.waclighting.com/product/archetype-4/?download=specs3&1676589330|lighting_30.pdf|lighting
https://www.littelfuse.com/media?resourcetype=datasheets&itemid=ae3ab906-06ef-423d-ac90-3af4e021e2e1&filename=littelfuse-fuse-325-326-datasheet|fuses_31.pdf|fuses
https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/500/1814605.pdf|others_32.pdf|others
https://www.wago.com/global/products/datasheets/Datasheet.pdf?product=2059-903/021-000&lang=en|others_33.pdf|others
https://cdn.currentlighting.com/site/specsheet/COL_RLW_spec.pdf|lighting_34.pdf|lighting
https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-gsa-gsap-series.pdf|fuses_35.pdf|fuses
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/R4RD1L_SPSHT.pdf|lighting_37.pdf|lighting
https://www.acuitybrands.com/api/products/getasset/hydrel/888888/c0eb0620-1838-4f9b-87dc-db65b61fd463/4750l_rgbw.pdf?abl_version=02%2f28%2f2023+23%3a30%3a00&DOC_Type=SPEC_SHEET|lighting_38.pdf|lighting
https://lfillumination.com/files/specsheets/LANRP-B.pdf|lighting_41.pdf|lighting
https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/921/LS530_RH.pdf|others_42.pdf|others
https://www.te.com/usa-en/product-2834055-3.datasheet.pdf|others_43.pdf|others
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/bolt-down-fuses/littelfuse_bf1_58v_datasheet.pdf|fuses_44.pdf|fuses
https://www.littelfuse.com/media?resourcetype=datasheets&itemid=fa879bdf-e528-428e-bf24-ff917a92d7c1&filename=working-littelfuse-fuse-370-datasheet|fuses_45.pdf|fuses
https://www.te.com/usa-en/product-2134611-1.datasheet.pdf|others_46.pdf|others
https://www.pinnacle-ltg.com/sites/default/files/2023-02/EV3D_LED_SPEC.pdf|lighting_48.pdf|lighting
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/MO-2007_SPSHT.pdf|lighting_49.pdf|lighting
https://www.kelvix.com/product/orex-277v/spec-sheet/|lighting_50.pdf|lighting
https://media.iuseelite.com/specsheet2/ech-opl-1001.pdf|lighting_52.pdf|lighting
